,utcTime,frame,keplerianPeriodMillis,semiMajorAxis,eccentricity,inclination,rightAscensionAscendingNode,argumentPeriapsis,meanAnomaly
1205,2026-01-05T02:03:20Z,EME2000,6371205.606620639,7428031.895599177,0.0002405464851890151,1.5533567058027706,6.275914603328437,3.024639379090502,5.65785751524988
1206,2026-01-05T02:11:40Z,EME2000,6371126.072840504,7427970.077818655,0.00023333994355898154,1.553361859733713,6.275901540028104,3.054113896040039,6.120899289697897
1207,2026-01-05T02:19:39.841Z,EME2000,6371055.807821859,7427915.463986456,0.00022851486507839547,1.553366864987133,6.275891488482052,3.0346265169669255,0.32984876220042847
1208,2026-01-05T02:20:00Z,EME2000,6371057.235208665,7427916.573431889,0.00022876973884830549,1.5533669985916931,6.275891105375087,3.034032918842665,0.3502994553017837
1209,2026-01-05T02:27:46.612Z,EME2000,6371109.525399714,7427957.216256784,0.00023462520065162655,1.553368290862609,6.275882038824169,3.043780602157513,0.8001745693687697
1210,2026-01-05T02:28:20Z,EME2000,6371112.237086471,7427959.323926488,0.00023481627183844197,1.5533682968131224,6.275881356871713,3.0452122238709802,0.8316312903317192
1211,2026-01-05T02:30:14.475Z,EME2000,6371120.592460806,7427965.818173731,0.00023525585738820812,1.5533682818930084,6.275878984810862,3.0502419723855234,0.9393623915365129
1212,2026-01-05T02:36:00.267Z,EME2000,6371138.14304845,7427979.459427089,0.00023430435887654264,1.5533681805339663,6.275871710390744,3.0636812851789452,1.2665394206981064
1213,2026-01-05T02:36:40Z,EME2000,6371138.219178279,7427979.518599227,0.00023396298707505987,1.5533681829820454,6.275870898977926,3.0642149535221845,1.3051438592067095
1214,2026-01-05T02:45:00Z,EME2000,6371092.373337908,7427943.884739155,0.0002326518199040385,1.5533682193403526,6.275862174749626,3.045113648383892,1.8167560573124275
1215,2026-01-05T02:48:57.040Z,EME2000,6371089.379480729,7427941.557748893,0.00023453629623198434,1.5533679073595776,6.275858462883136,3.0465162599460616,2.0488388775688033
1216,2026-01-05T02:53:20Z,EME2000,6371119.145523848,7427964.693536549,0.000234095992846307,1.5533676819966031,6.275853503736846,3.0586669540092744,2.2957068547780306
1217,2026-01-05T03:01:40Z,EME2000,6371146.241766366,7427985.754178642,0.00023247428453411744,1.553369033881596,6.275842223857705,3.059429312536551,2.78745566721691
1218,2026-01-05T03:10:00Z,EME2000,6371119.370937197,7427964.868739926,0.000236521457700512,1.5533717698639218,6.275831455490755,3.050651395689503,3.288746737460722
1219,2026-01-05T03:18:20Z,EME2000,6371039.185100071,7427902.54386462,0.00024363717023945125,1.553374927360822,6.275822116927214,3.0765042221398358,3.7554024335442078
1220,2026-01-05T03:21:56.814Z,EME2000,6371028.577976584,7427894.299400977,0.0002409646889617785,1.5533756906986498,6.275818236834986,3.0848557830135643,3.9606139977040375
1221,2026-01-05T03:21:59.083Z,EME2000,6371028.574351934,7427894.296583689,0.00024092367684973396,1.5533756971353907,6.275818196304707,3.084861507480387,3.9628433044007156
1222,2026-01-05T03:26:40Z,EME2000,6371036.880701924,7427900.752754839,0.0002361868983773899,1.5533764025512498,6.275813316656834,3.0734397906879494,4.250972876345487
1223,2026-01-05T03:35:00Z,EME2000,6371097.036621176,7427947.509298355,0.0002367080621035988,1.553376931555318,6.275804403699206,3.0256924351348804,4.791234750497207
1224,2026-01-05T03:41:00.829Z,EME2000,6371184.578432172,7428015.55142507,0.00024598273497430955,1.5533773934965145,6.275794485619465,3.0061486023277357,5.166212369469887
1225,2026-01-05T03:43:20Z,EME2000,6371209.488764767,7428034.912996433,0.0002496106940331978,1.5533780374521575,6.275790043462987,3.011201704762843,5.298250227713336
1226,2026-01-05T03:44:35.610Z,EME2000,6371219.023426527,7428042.323811485,0.0002511227294140069,1.5533784835453093,6.27578765533198,3.0163049291756483,5.367626979080675
1227,2026-01-05T03:48:09.177Z,EME2000,6371232.098362805,7428052.486298599,0.0002533474023033446,1.5533798451456406,6.275781390706249,3.0344766252567874,5.559828434400466
1228,2026-01-05T03:51:40Z,EME2000,6371227.7452262435,7428049.102826346,0.0002532836066207627,1.553380952396174,6.275776050971649,3.051999236287272,5.749975473430442
1229,2026-01-05T04:00:00Z,EME2000,6371142.305918064,7427982.69502968,0.0002467974480738106,1.553383256577702,6.2757648836860085,3.0807355438734922,6.213756318308286
1230,2026-01-05T04:05:51.141Z,EME2000,6371083.705558598,7427937.147663926,0.00024216609527879805,1.5533855108525811,6.275757753467729,3.0781997892896333,0.2789878936156855
